Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
NDPK3m,NME4 or NME6 or NME1,-0.1434,0.1506,0.0973,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
NDPK5,NME3 or (NME2 and NME1) or NME6 or NME7 or NME2,-0.4414,0.1506,0.0612,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
NDPK6m,NME1 and NME2,-0.5702,0.1506,0.6497,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
NDPK8m,NME4 or NME6 or NME1,-0.1434,0.1506,0.0973,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
OMPDC,UMPS,-0.4661,0.1506,0.1806,Pyrimidine Metabolism; Pyrimidine Synthesis,Nucleotide metabolism,False,False
ORPT,UMPS,-0.4661,0.1506,0.1806,Pyrimidine Metabolism; Pyrimidine Synthesis,Nucleotide metabolism,False,False
PCt,ABCB1LA or ABCA1,-0.1182,0.1506,0.6895,Extracellular Transport,Extracellular Transport,False,False
PGCD,PHGDH,-0.2959,0.1506,0.2881,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cysteine And Methionine Metabolism; Glycine, Serine And Threonine Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",False,False
PGPPTm,PGS1,-0.368,0.1506,0.3284,Glycerophospholipid Metabolism,Lipid metabolism,False,False
PRFGS,PFAS,0.0,0.1506,,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
PSDm_hs,PISD,-0.3091,0.1506,0.0818,Glycerophospholipid Metabolism,Lipid metabolism,False,False
PSP__Lm,PSPH,-0.3451,0.1506,0.4546,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
PUNP1,PNP,0.0,0.1506,,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
PUNP2,PNP,0.0,0.1506,,Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,False,False
PUNP4,PNP,0.0,0.1506,,Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,False,False
RNDR2,(RRM1 and RRM2) or RRM2B,-0.3956,0.1506,0.3049,Nucleotide Interconversion,Nucleotide metabolism,False,False
RNDR3,(RRM1 and RRM2) or RRM2B,-0.3956,0.1506,0.3049,Nucleotide Interconversion,Nucleotide metabolism,False,False
SERt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),-0.1633,0.1506,0.5265,Extracellular Transport,Extracellular Transport,False,False
TMDSm,TYMS,-0.0508,0.1506,0.9227,Nucleotide Interconversion,Nucleotide metabolism,False,False
TRDR,TXNRD1,-0.3147,0.1506,0.4196,Nucleotide Interconversion,Nucleotide metabolism,False,False
TYRPHELAT2tc,SLC7A5,-0.6438,0.1506,0.0739,Extracellular Transport,Extracellular Transport,False,False
UMPK2m,CMPK2,-0.9745,0.1506,0.08,Nucleotide Interconversion,Nucleotide metabolism,False,False
URIt5,SLC28A3,0.0,0.1506,,Extracellular Transport,Extracellular Transport,False,False
r0202c,GPD1L2,-0.0504,0.1506,0.8499,Glycerophospholipid Metabolism,Lipid metabolism,False,False
r0276,GMPR2,-0.2802,0.1506,0.1941,Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,False,False
r0475,RRM1 and RRM2 and RRM2B,-0.4616,0.1506,0.8366,Nucleotide Interconversion,Nucleotide metabolism,False,False
PRPPS,PRPS1L1 or PRPS2,-0.075,0.1243,0.5331,Biosynthesis Of Amino Acids; Pentose Phosphate Pathway; Purine Metabolism,Biosynthesis Of Amino Acids; Redox & Pentose Metabolism; Nitrogen disposal,False,False
ALAPAT4te,SLC36A4,0.0,0.0976,,Extracellular Transport,Extracellular Transport,False,False
5MTHFt,FOLR1,0.0,-0.074,,Extracellular Transport,Extracellular Transport,False,False
ALAtN1,SLC38A3,0.1612,-0.0589,0.5518,Extracellular Transport,Extracellular Transport,False,False
PGL,H6PD,-0.1241,0.0566,0.7643,Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
ASPTA,GOT1 or IL4I1,0.3373,-0.0439,0.1586,"2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids",False,False
CSm,CS,1.3506,-0.0439,0.0,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism,False,False
FUMm,FH,0.5923,-0.0439,0.0099,Citric Acid Cycle; Pyruvate Metabolism,Central Energy Metabolism,False,False
ICDHym,IDH2,0.7389,-0.0439,0.002,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle; Glutathione Metabolism,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; Redox & Pentose Metabolism,False,False
MDH,MDH2 or MDH1,0.2033,-0.0439,0.6275,Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Pyruvate Metabolism,Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism,False,False
ME2m,ME1 or ME3,0.1973,-0.0439,0.3322,Pyruvate Metabolism,Central Energy Metabolism,False,False
SUCOAS1m,SUCLG2 and SUCLG1,0.0314,-0.0439,0.9057,Citric Acid Cycle; Propanoate Metabolism,Central Energy Metabolism; Propanoate Metabolism,False,False
r0509,SDHA and SDHB and SDHC and SDHD,0.1026,-0.0439,0.5944,Citric Acid Cycle,Central Energy Metabolism,False,False
r0552m,ALDH7A1,0.1784,-0.0439,0.4936,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
r0553m,ALDH7A1,0.1784,-0.0439,0.4936,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
3HBCOAHLm,HIBCH,0.3367,-0.0291,0.3829,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
GCC2cm,DLD,0.2331,-0.0291,0.3944,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
HACD1m,XRN1 or HADH,0.1518,-0.0291,0.3973,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,Butanoate Metabolism; Lipid metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),False,False
HIBDm,HIBADH or EHHADH or HADH,0.3207,-0.0291,0.3237,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),False,False
HMGCOASim,HMGCS2,0.3916,-0.0291,0.1171,"Butanoate Metabolism; Synthesis And Degradation Of Ketone Bodies; Terpenoid Backbone Biosynthesis; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; Lipid metabolism; Terpenoid Backbone Biosynthesis; BCAA metabolism (Val/Leu/Iso),False,False
HMGLm,HMGCL or HMGCLL1,0.7802,-0.0291,0.1374,"Butanoate Metabolism; Cholesterol Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; Lipid metabolism; BCAA metabolism (Val/Leu/Iso),False,False
LYStm,SLC25A15,0.8624,-0.0291,0.1591,"Transport, Mitochondrial",Mitochondrial transport,False,False
MMEm,MCEE,0.2495,-0.0291,0.76,"Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; BCAA metabolism (Val/Leu/Iso),False,False
MMMm,MUT,0.1313,-0.0291,0.7617,"Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; BCAA metabolism (Val/Leu/Iso),False,False
MMSAD1m,ALDH6A1,0.9273,-0.0291,0.0001,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
PPCOACm,PCCB and PCCA,0.349,-0.0291,0.0954,"Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; BCAA metabolism (Val/Leu/Iso),False,False
SACCD3m,AASS,0.6274,-0.0291,0.021,Lysine Degradation; Lysine Metabolism,AA other (Cys/Met/Lys/Arg/Pro),False,False
VALTA,BCAT1,0.2996,-0.0291,0.6024,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Pantothenate And Coa Biosynthesis; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Pantothenate And Coa Biosynthesis; BCAA metabolism (Val/Leu/Iso),False,False
r0450,AADAT,0.1913,-0.0291,0.6562,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis; Lysine Degradation; Lysine Metabolism,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis; AA other (Cys/Met/Lys/Arg/Pro),False,False
r0525,AASS,0.6274,-0.0291,0.021,Lysine Degradation; Lysine Metabolism,AA other (Cys/Met/Lys/Arg/Pro),False,False
r0541,GCDH,0.7173,-0.0291,0.01,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),False,False
r0594m,ALDH7A1,0.1784,-0.0291,0.4936,Lysine Metabolism,AA other (Cys/Met/Lys/Arg/Pro),False,False
HUMANGEM_MAR11443,MPC1 and MPC2,0.0,0.0286,,"Transport, Mitochondrial",Mitochondrial transport,False,False
ACACT10m,ACAT1 or ACAA2,0.3323,-0.0145,0.5267,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
ENO,ENO1 or ENO4 or ENO2,0.9166,-0.0145,0.2348,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis; Methane Metabolism,Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism,False,False
GAPD,GAPDH,0.0251,-0.0145,0.9554,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
GLCt1,SLC2A11 or SLC2A9 or SLC2A9L or SLC2A12 or SLC2A1 or SLC2A6 or SLC2A8 or SLC2A2 or SLC2A10,1.2398,-0.0145,0.0571,Extracellular Transport,Extracellular Transport,False,False
HACD9m,HSD17B10 or EHHADH or HADH,0.3207,-0.0145,0.1213,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
ILETA,BCAT1 or IL4I1,0.2996,-0.0145,0.3687,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; BCAA metabolism (Val/Leu/Iso),False,False
PGK,PGK2,0.687,-0.0145,0.0067,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis,Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
PYK,PKLR,0.1662,-0.0145,0.8253,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis; Pyruvate Metabolism,Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
PYRt2,SLC16A3 or SLC16A7 or LOC416086 or SLC16A1,0.5163,-0.0145,0.4125,Extracellular Transport,Extracellular Transport,False,False
2HCO3_NAt,SLC4A5 or SLC4A4 or SLC4A9,3.6313,0.0,0.1034,Extracellular Transport,Extracellular Transport,False,False
ASPt6,SLC1A6 or SLC1A1 or SLC1A3 or SLC1A2 or SLC1A7,1.3057,0.0,0.1827,Extracellular Transport,Extracellular Transport,False,False
GLNtN1,SLC38A3,0.1612,0.0,0.5518,Extracellular Transport,Extracellular Transport,False,False
GLUDxm,GLUD2,1.1138,0.0,0.0013,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Nitrogen Metabolism; Taurine And Hypotaurine Metabolism","AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism",False,False
GLUNm,GLS2,1.4817,0.0,0.0072,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis","AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro)",False,False
H2Otm,AQP8,0.0,0.0,,"Transport, Mitochondrial",Mitochondrial transport,False,False
ILEtec,SLC43A2,0.2181,0.0,0.5928,Extracellular Transport,Extracellular Transport,False,False
KCCt,SLC12A7 or KIDINS220 or SLC12A4,0.7372,0.0,0.0194,Extracellular Transport,Extracellular Transport,False,False
NAHCO3_HCLt,HEBP2 or SLC4A10,-0.1404,0.0,0.8896,Extracellular Transport,Extracellular Transport,False,False
VALtec,SLC43A2,0.2181,0.0,0.5928,Extracellular Transport,Extracellular Transport,False,False
r0130,GGT2 or GGT2P,1.0237,0.0,0.0878,Glutathione Metabolism,Redox & Pentose Metabolism,False,False
